default_status,cash,accounts_receivable,inventory,total_current_assets,fixed_assets,total_non_current_assets,total_assets,short_term_debt,accounts_payable,total_non_current_liabilities,total_equity,report_period,year,month,revenue,cost_of_sales,finance_expense,asset_impairment_loss,operating_profit,total_profit,net_profit,default_year,default_month,impairment_ratio,net_profit_margin,company_id
0,1693375499,1132026316,1875773633,6496490765,361086490.1,1200285679,7696776445,842916800,1931122.86,4463258798,1673111914,1,2017,9,5160988609,4631465109,92865148.87,0,215354062.2,217717217.1,185077822.1,2099,12,0,0.035860924,COMPANY_0035
0,1525013165,3545966973,1966887236,7898026435,296954455.6,1912083745,9810110180,697916800,63979201.98,7364305112,915077200.4,1,2017,12,6876654174,6393714428,148478900.8,117125468.7,-24951916.45,-14023800.73,-38125298.72,2099,12,0.127995177,-0.005544164,COMPANY_0036
0,1562834192,1140615500,1940653840,6458860617,310420931.4,3293748060,9752608677,1280571117,33117354.41,5964078534,1821498505,1,2018,6,3618612201,3319639200,99950776.75,-31993944.96,108984388.9,109080294.3,77909030.8,2099,12,-0.017564629,0.021530086,COMPANY_0037
0,1461396450,2871144513,837346497.8,6869529460,303039962,4760891684,11630421144,1304071117,72371130.39,7227442789,1419906674,1,2018,12,6605782835,5918037767,179081137.7,-92853630.07,304546564.4,300324441.5,216833360.2,2099,12,-0.065394178,0.032824779,COMPANY_0038
0,2022579352,2433207942,724714322.9,7886623881,454523345.3,5848218150,13734842031,1525571117,49304475.85,7342186413,1538184190,1,2019,3,889295015.1,789791740.8,74917667.03,125201.49,-26503553.98,-27877116.4,-31605235.37,2099,12,8.13956E-05,-0.035539652,COMPANY_0039
0,1412351084,2858796697,1424660617,7741403486,448865392.5,6501408809,14242812294,1392427618,51044103.13,7291046950,1678185171,1,2019,6,3004017418,2663389801,101646493.6,-943535.47,144562533.2,143091252.6,133690176.3,2099,12,-0.000562236,0.044503795,COMPANY_0040
0,1513339267,2961428521,1346197979,7725067780,490555025.1,7224603248,14949671028,1196927618,97021356.27,7576728362,1903885019,1,2019,12,6134071401,5511787838,192088340.2,28436321.59,257341137.4,257583429.1,188101186.5,2099,12,0.014935945,0.030664982,COMPANY_0041
0,1161436113,3194360305,1729237276,8444007736,480593084.5,7581121760,16025129496,1812889490,54782388.61,8374003387,1950549178,1,2020,6,2883300661,2596823700,146292830.2,-1511100.59,71697865.93,70071956.47,52225616.08,2099,12,-0.000774705,0.018113136,COMPANY_0042
0,1216986135,3164531284,1717219911,8778626928,475675575,7586724170,16365351097,2367889490,49521597.49,8815433486,1951301809,1,2020,9,3578186531,3164321281,231724800,-1439872.41,67155770.72,64012612.01,30872052.87,2099,12,-0.000737903,0.008627849,COMPANY_0043
0,1621049151,2700769475,2233600419,8394887795,513871109.2,9384985088,17779872882,2353889490,36869354.81,10751857319,1861959851,1,2020,12,6622426346,5781223555,286892390.5,110099200.5,165700985.7,160940590.7,110063219,2099,12,0.059130813,0.016619772,COMPANY_0044
0,1302116253,2533683292,2786453822,8460450696,508642636.1,9349431987,17809882683,2704891190,47149264.91,10056935232,2086358343,1,2021,3,1365875945,1218051228,65838230.46,2668574.58,28491783.15,28436006.28,19034998.58,2099,12,0.001279059,0.013936111,COMPANY_0045
0,1507402958,2836384363,2501573914,8887515276,504048282.1,9955056494,18842571770,3075376833,48250028.57,10840233934,2140236603,1,2021,6,3543278330,3208690809,137725401.9,-2668574.58,94203161.94,94250563.42,66505169.87,2099,12,-0.00124686,0.018769389,COMPANY_0046
0,1577821468,2974707649,2959693305,9505528869,507986691.1,10144794065,19650322935,3127496833,52450138.46,11846405847,2178430343,1,2021,9,5386277664,4898877608,188005587.9,0,126653389.4,137947890,103460917.5,2099,12,0,0.019208241,COMPANY_0047
0,1824472365,3280007780,8605910231,15423321034,503449145.4,5073103844,20496424877,3505603824,22560678.57,12743849048,2192969978,1,2021,12,8375494827,7673737206,229370091.7,6622.44,186886551.8,195726417.7,148105118.7,2099,12,3.01985E-06,0.017683148,COMPANY_0048
0,2578526388,3072180898,7280896861,14835336504,485116736.2,7560872686,22396209190,3432409706,51963699.58,13438585722,2285168848,1,2022,6,4785200130,4387500518,138004277.4,-3411095.59,146105654.8,141918012,93671639.36,2099,12,-0.001492711,0.019575281,COMPANY_0049
0,3013366666,11246124019,174125905.4,16992685869,469605706.4,7805130465,24797816334,1940447806,29823500.23,14953227365,2364170012,1,2022,12,10844692208,9897271658,290949324,83124448.41,247893240.2,235297489.9,172569565.7,2099,12,0.035160098,0.015912814,COMPANY_0050
